bill_number,title,primary_subject
H.R.32,To amend the Internal Revenue Code of 1986 to exempt the spouses of active duty members of the Armed Forces from the determination of whether an employer is subject to the employer health insurance mandate.,Taxation
H.R.25,"To promote freedom, fairness, and economic opportunity by repealing the income tax and other taxes, abolishing the Internal Revenue Service, and enacting a national sales tax to be administered primarily by the States.",Taxation
H.R.56,"To establish a grant program for stipends to assist in the cost of compensation paid by employers to certain recent college graduates and to provide funding for their further education in subjects relating to mathematics, science, engineering, and technology.",Education
H.R.43,"To amend title 38, United States Code, to authorize the use of Post-9/11 Educational Assistance to pursue independent study programs at certain educational institutions that are not institutions of higher learning.",Armed Forces and National Security
H.R.37,"To amend title 18, United States Code, to prohibit a health care practitioner from failing to exercise the proper degree of care in the case of a child who survives an abortion or attempted abortion.",Crime and Law Enforcement
H.R.23,"To provide drought relief in the State of California, and for other purposes.",Water Resources Development
H.R.47,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide for the humane treatment of youths who are in police custody, and for other purposes.",Crime and Law Enforcement
H.R.34,To repeal the Gun-Free School Zones Act of 1990 and amendments to that Act.,Crime and Law Enforcement
H.R.46,To authorize the Secretary of the Interior to conduct a special resource study of Fort Ontario in the State of New York.,Public Lands and Natural Resources
H.R.52,"To rebuild the Nation's crumbling infrastructure, transportation systems, technology and computer networks, and energy distribution systems, by strongly and urgently requesting the immediate recruitment, employment, and on-the-job ""earn as you learn"" training of African-American young men ages 18 to 39, who are the hardest hit in terms of unemployment, with an unemployment rate of 41 percent nationally, and in some States and cities, especially inner cities, higher than 50 percent, which is a national crisis.",Labor and Employment
H.R.39,"To amend title 5, United States Code, to codify the Presidential Innovation Fellows Program, and for other purposes.",Government Operations and Politics
H.R.211,"To authorize the Secretary of the Interior to complete a land exchange with the Chugach Regional Alaska Native Corporation, and for other purposes.",Native Americans
H.R.209,To improve the Department of Housing and Urban Development's regulations on hazardous storage containers.,Housing and Community Development
H.R.30,To repeal the Federal estate and gift taxes.,Taxation
H.R.36,"To amend title 18, United States Code, to protect pain-capable unborn children, and for other purposes.",Crime and Law Enforcement
H.R.40,"To address the fundamental injustice, cruelty, brutality, and inhumanity of slavery in the United States and the 13 American colonies between 1619 and 1865 and to establish a commission to study and consider a national apology and proposal for reparations for the institution of slavery, its subsequent de jure and de facto racial and economic discrimination against African-Americans, and the impact of these forces on living African-Americans, to make recommendations to the Congress on appropriate remedies, and for other purposes.","Civil Rights and Liberties, Minority Issues"
H.R.54,To require the Secretary of Homeland Security to conduct a study on the feasibility of establishing a Civilian Cyber Defense National Resource in the Department of Homeland Security.,Emergency Management
H.R.50,"To provide for additional safeguards with respect to imposing Federal mandates, and for other purposes.",Government Operations and Politics
H.R.53,"To direct the Secretary of Homeland Security to develop a database that shall serve as a central location for information from investigations relating to human trafficking for Federal, State, and local law enforcement agencies.",Crime and Law Enforcement
H.R.231,"To fulfill the land conveyance requirements under the Alaska Native Claims Settlement Act for the Alaska Native Village of Canyon Village, and for other purposes.",Native Americans
H.R.33,"To amend chapter 6 of title 5, United States Code (commonly known as the Regulatory Flexibility Act), to ensure complete analysis of potential impacts on small entities of rules, and for other purposes.",Government Operations and Politics
H.R.153,"To provide for the issuance of a forever stamp to honor the work of Dr. Michael Ellis DeBakey, who helped develop the mobile army surgical hospital, and for other purposes.",Government Operations and Politics
H.R.51,"To amend the National Agricultural Research, Extension, and Teaching Policy Act of 1977 to direct the Secretary of Agriculture to establish a grant program under which the Secretary will award $19,000,000 of grant funding to the 19 1890-institutions ($1,000,000 to each institution), such as Tuskegee University in Alabama, Prairie View A&M University of Texas, Fort Valley State University of Georgia, North Carolina A&T State University, and Florida A&M University, and allocate the $1,000,000 to each such institution for purposes of awarding scholarships to students attending such institutions, and for other purposes.",Agriculture and Food
H.R.64,"To amend title 18, United States Code, to provide an alternate release date for certain nonviolent offenders, and for other purposes.",Crime and Law Enforcement
H.R.84,"To protect the right of law-abiding citizens to transport knives interstate, notwithstanding a patchwork of local and State prohibitions, and to repeal Federal provisions related to switchblade knives which burden citizens.",Crime and Law Enforcement
H.R.61,"To provide for the expungement and sealing of youth criminal records, and for other purposes.",Crime and Law Enforcement
H.R.127,"To amend title 49, United States Code, with respect to urbanized area formula grants, and for other purposes.",Transportation and Public Works
H.R.62,"To provide for the hiring of 200 additional Bureau of Alcohol, Tobacco, Firearms and Explosives agents and investigators to enforce gun laws.",Crime and Law Enforcement
H.R.96,"To amend title 49, United States Code, to direct the Assistant Secretary of Homeland Security (Transportation Security Administration) to transfer unclaimed money recovered at airport security checkpoints to nonprofit organizations that provide places of rest and recuperation at airports for members of the Armed Forces and their families, and for other purposes.",Transportation and Public Works
H.R.65,"To provide alternatives to incarceration for youth, and for other purposes.",Crime and Law Enforcement
H.R.57,"To require the Director of the Federal Bureau of Investigation to report to the Congress semiannually on the number of firearms transfers resulting from the failure to complete a background check within 3 business days, and the procedures followed after it is discovered that a firearm transfer has been made to a transferee who is ineligible to receive a firearm.",Crime and Law Enforcement
H.R.60,"To amend title 10, United States Code, to authorize the enlistment in the Armed Forces of certain aliens who are unlawfully present in the United States and were younger than 15 years of age when they initially entered the United States, but who are otherwise qualified for enlistment, and to provide a mechanism by which such aliens, by reason of their honorable service in the Armed Forces, may be lawfully admitted to the United States for permanent residence.",Immigration
H.R.225,To amend the Marine Mammal Protection Act of 1972 to allow the importation of polar bear trophies taken in sport hunts in Canada.,Animals
H.R.156,"To amend the National Labor Relations Act to require the arbitration of initial contract negotiation disputes, and for other purposes.",Labor and Employment
H.R.227,"To reauthorize the African Elephant Conservation Act, the Rhinoceros and Tiger Conservation Act of 1994, the Asian Elephant Conservation Act of 1997, the Great Ape Conservation Act of 2000, and the Marine Turtle Conservation Act of 2004, and for other purposes.",Animals
H.R.58,"To require the Secretary of Homeland Security to submit a study on the circumstances which may impact the effectiveness and availability of first responders before, during, or after a terrorist threat or event, and for other purposes.",Emergency Management
H.R.150,"To direct the Attorney General to create a special reward program for individuals providing information leading to the apprehension and conviction of persons committing offenses under section 1030 of title 18, United States Code, and for other purposes.",Crime and Law Enforcement
H.R.222,"To amend the National Marine Sanctuaries Act to prescribe an additional requirement for the designation of marine sanctuaries off the coast of Alaska, and for other purposes.",Public Lands and Natural Resources
H.R.220,"To authorize the expansion of an existing hydroelectric project, and for other purposes.",Energy
H.R.236,"To provide for the conveyance of certain property to the Tanana Tribal Council located in Tanana, Alaska, and to the Bristol Bay Area Health Corporation located in Dillingham, Alaska, and for other purposes.",Public Lands and Natural Resources
H.R.221,"To reauthorize the Hydrographic Services Improvement Act of 1998, and for other purposes.",Public Lands and Natural Resources
H.R.49,"To direct the Secretary of the Interior to establish and implement a competitive oil and gas leasing program that will result in an environmentally sound program for the exploration, development, and production of the oil and gas resources of the Coastal Plain of Alaska, and for other purposes.",Energy
H.R.218,To provide for the exchange of Federal land and non-Federal land in the State of Alaska for the construction of a road between King Cove and Cold Bay.,Public Lands and Natural Resources
H.R.41,"To amend title 5, United States Code, to require agencies to respond to comments from congressional committees about proposed rulemaking, and for other purposes.",Government Operations and Politics
H.R.224,"To amend the Marine Mammal Protection Act of 1972 to allow importation of polar bear trophies taken in sport hunts in Canada before the date the polar bear was determined to be a threatened species under the Endangered Species Act of 1973, and for other purposes.",Animals
H.R.229,"To provide for the recognition of certain Native communities and the settlement of certain claims under the Alaska Native Claims Settlement Act, and for other purposes.",Native Americans
H.R.42,To authorize the Directors of Veterans Integrated Service Networks of the Department of Veterans Affairs to enter into contracts with appropriate civilian accreditation entities or appropriate health care evaluation entities to investigate medical centers of the Department of Veterans Affairs.,Armed Forces and National Security
H.R.63,"To amend the Internal Revenue Code of 1986 to provide a tax credit to encourage private employers to hire veterans, to amend title 38, United States Code, to clarify the reasonable efforts an employer may make under the Uniformed Services Employment and Reemployment Rights Act with respect to hiring veterans, and for other purposes.",Taxation
H.R.145,"To terminate pensions for Members of Congress, to prohibit a single bill or joint resolution presented by Congress to the President from containing multiple subjects, to require the equal application of laws to Members of Congress, and for other purposes.",Congress
H.R.85,"To make 1 percent across-the-board rescissions in non-defense, non-homeland-security, and non-veterans-affairs discretionary spending for each of the fiscal years 2017 and 2018.",Economics and Public Finance
H.R.223,To prohibit the Secretary of the Interior and the Secretary of Commerce from authorizing commercial finfish aquaculture operations in the Exclusive Economic Zone except in accordance with a law authorizing such action.,Public Lands and Natural Resources
H.R.149,"To authorize funds to prevent housing discrimination through the use of nationwide testing, to increase funds for the Fair Housing Initiatives Program, and for other purposes.",Housing and Community Development
H.R.237,"To reauthorize the Integrated Coastal and Ocean Observation System Act of 2009, and for other purposes.",Public Lands and Natural Resources
H.R.226,"To amend the African Elephant Conservation Act of 1988 to conserve elephants while appropriately regulating ivory in the United States, and for other purposes.",Animals
H.R.152,"To provide for the issuance of a forever stamp to recognize the historical importance of Prince Hall Freemasonry, and for other purposes.",Government Operations and Politics
H.R.147,"To prohibit discrimination against the unborn on the basis of sex or race, and for other purposes.",Crime and Law Enforcement
H.R.235,"To amend the Indian Health Care Improvement Act to authorize advance appropriations for the Indian Health Service by providing 2-fiscal-year budget authority, and for other purposes.",Native Americans
H.R.99,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide for the eligibility of Transportation Security Administration employees to receive public safety officers' death benefits, and for other purposes.",Transportation and Public Works
H.R.180,To amend title XIX of the Social Security Act to eliminate the requirement for 3 months of retroactive coverage under the Medicaid program.,Health
H.R.5,"To reform the process by which Federal agencies analyze and formulate new regulations and guidance documents, to clarify the nature of judicial review of agency interpretations, to ensure complete analysis of potential impacts on small entities of rules, and for other purposes.",Government Operations and Politics
H.R.217,"To amend title X of the Public Health Service Act to prohibit family planning grants from being awarded to any entity that performs abortions, and for other purposes.",Health
H.R.177,To bar Supreme Court decisions in certain Patient Protection and Affordable Care Act cases from citation.,Law
H.R.66,"To establish the Route 66 Centennial Commission, to direct the Secretary of Transportation to prepare a plan on the preservation needs of Route 66, and for other purposes.",Transportation and Public Works
H.R.73,"To amend title 44, United States Code, to require information on contributors to Presidential library fundraising organizations, and for other purposes.",Government Operations and Politics
H.R.174,"To require U.S. Immigration and Customs Enforcement to take into custody certain aliens who have been charged in the United States with a crime that resulted in the death or serious bodily injury of another person, and for other purposes.",Immigration
H.R.71,"To provide taxpayers with an annual report disclosing the cost and performance of Government programs and areas of duplication among them, and for other purposes.",Government Operations and Politics
H.R.72,To ensure the Government Accountability Office has adequate access to information.,Government Operations and Politics
H.R.100,"To amend title 23, United States Code, to modify the percentages of funds to be allocated to certain urbanized areas under the surface transportation block grant program.",Transportation and Public Works
H.R.219,To correct the Swan Lake hydroelectric project survey boundary and to provide for the conveyance of the remaining tract of land within the corrected survey boundary to the State of Alaska.,Public Lands and Natural Resources
H.R.203,To amend the Richard B. Russell National School Lunch Act to improve the efficiency of summer meals.,Agriculture and Food
H.R.201,"To amend the Higher Education Act of 1965 to provide loan deferment and loan cancellation for founders and employees of small business start-ups, and for other purposes.",Education
H.R.202,"To amend the Fair Housing Act, to prohibit discrimination based on use of section 8 vouchers, and for other purposes.",Housing and Community Development
H.R.205,"To amend the Federal Food, Drug, and Cosmetic Act to require labeling of genetically engineered fish.",Agriculture and Food
H.R.228,"To amend the Indian Employment, Training and Related Services Demonstration Act of 1992 to facilitate the ability of Indian tribes to integrate the employment, training, and related services from diverse Federal sources, and for other purposes.",Native Americans
H.R.159,"To expand the workforce of veterinarians specialized in the care and conservation of wild animals and their ecosystems, and to develop educational programs focused on wildlife and zoological veterinary medicine.",Animals
H.R.200,"To amend the Magnuson-Stevens Fishery Conservation and Management Act to provide flexibility for fishery managers and stability for fishermen, and for other purposes.",Public Lands and Natural Resources
H.R.160,"To end the use of corporal punishment in schools, and for other purposes.",Education
H.R.157,"To authorize assistance for the Government of Tunisia, and for other purposes.",International Affairs
H.R.158,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to impose certain additional requirements on applicants for COPS grants, and for other purposes.",Crime and Law Enforcement
